г. Санкт-Петербург, пр-кт. Приморский, д. 159, лит. А	1995
г. Санкт-Петербург, пр-кт. Приморский, д. 161, лит. А	1995
г. Санкт-Петербург, пр-кт. Приморский, д. 169, лит. А	1993
г. Санкт-Петербург, пр-кт. Пролетарский, д. 48, лит. А	1917
г. Санкт-Петербург, ул. Рядовая, д. 3, лит. А	1916
г. Санкт-Петербург, ул. Рядовая, д. 8б, лит. А	1916
г. Санкт-Петербург, ул. Рядовая, д. 34, лит. А	1916
г. Санкт-Петербург, ул. Рядовая, д. 50, лит. А	1916
г. Санкт-Петербург, ул. Савушкина, д. 107, к. 1, лит. А	1991
г. Санкт-Петербург, ул. Савушкина, д. 115, к. 1, лит. А	1990
г. Санкт-Петербург, ул. Савушкина, д. 115, к. 3, лит. А	1990
г. Санкт-Петербург, ул. Савушкина, д. 123, к. 3, лит. А	1990
г. Санкт-Петербург, ул. Савушкина, д. 123, к. 4, лит. А	1990
г. Санкт-Петербург, ул. Савушкина, д. 123, к. 5, лит. А	1991
г. Санкт-Петербург, ул. Савушкина, д. 125, к. 3, лит. А	1992
г. Санкт-Петербург, ул. Савушкина, д. 125, к. 4, лит. А	1990
г. Санкт-Петербург, ул. Савушкина, д. 132, к. 2, лит. А	1995
г. Санкт-Петербург, ул. Савушкина, д. 133, к. 2, лит. А	1994
г. Санкт-Петербург, ул. Савушкина, д. 133, к. 3, лит. А	1991
г. Санкт-Петербург, ул. Савушкина, д. 134, к. 1, лит. А	1994
г. Санкт-Петербург, ул. Савушкина, д. 134, к. 2, лит. А	1993
г. Санкт-Петербург, ул. Савушкина, д. 134, к. 3, лит. А	1995
г. Санкт-Петербург, ул. Савушкина, д. 137, к. 2, лит. А	1993
г. Санкт-Петербург, ул. Савушкина, д. 137, к. 3, лит. А	1991
г. Санкт-Петербург, ул. Савушкина, д. 145, лит. А	1991
г. Санкт-Петербург, ул. Ситцевая, д. 3, к. 3, лит. А	1996
г. Санкт-Петербург, ул. Ситцевая, д. 5, к. 1, лит. А	1996
г. Санкт-Петербург, ул. Ситцевая, д. 11, к. 2, лит. А	1991
г. Санкт-Петербург, ул. Ситцевая, д. 17, к. 2, лит. А	1991
г. Санкт-Петербург, ул. Старая, д. 4, лит. А	1916
г. Санкт-Петербург, ул. Стародеревенская, д. 20, к. 2, лит. А	1990
г. Санкт-Петербург, ул. Стародеревенская, д. 30, лит. А	1990
г. Санкт-Петербург, ул. Туристская, д. 6, к. 3, лит. А	1993
г. Санкт-Петербург, ул. Туристская, д. 11, к. 2, лит. А	2009
г. Санкт-Петербург, ул. Туристская, д. 12, лит. А	1992
г. Санкт-Петербург, ул. Туристская, д. 13, к. 1, лит. А	2009
г. Санкт-Петербург, ул. Туристская, д. 15, к. 2, лит. А	2009
г. Санкт-Петербург, ул. Туристская, д. 38, к. 2, лит. А	2006
г. Санкт-Петербург, ул. Хвойная, д. 16а, лит. А	1916
г. Санкт-Петербург, ул. Яхтенная, д. 2, к. 1, лит. А	1990
г. Санкт-Петербург, ул. Яхтенная, д. 6, к. 1, лит. А	1989
г. Санкт-Петербург, ул. Яхтенная, д. 9, к. 2, лит. А	1990
г. Санкт-Петербург, ул. Яхтенная, д. 9, к. 3, лит. А	1992
г. Санкт-Петербург, ул. Яхтенная, д. 10, к. 3, лит. А	1991
г. Санкт-Петербург, ул. Яхтенная, д. 10, к. 4, лит. А	1992
г. Санкт-Петербург, ул. Яхтенная, д. 12, к. 1, лит. А	1990
г. Санкт-Петербург, ул. Яхтенная, д. 22, к. 2, лит. А	2009
г. Санкт-Петербург, ул. Яхтенная, д. 29, лит. А	1999
г. Санкт-Петербург, ул. Яхтенная, д. 31, лит. А	1994
г. Санкт-Петербург, ул. Яхтенная, д. 37, лит. А	1994
г. Санкт-Петербург, ул. Белградская, д. 46, лит. А	1965
г. Санкт-Петербург, ул. Белы Куна, д. 5, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 7, к. 1, лит. А	1968
г. Санкт-Петербург, ул. Белы Куна, д. 7, к. 2, лит. А	1966
г. Санкт-Петербург, ул. Белы Куна, д. 7, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Белы Куна, д. 7, к. 4, лит. А	1966
г. Санкт-Петербург, ул. Белы Куна, д. 7, к. 5, лит. А	1966
г. Санкт-Петербург, ул. Белы Куна, д. 8, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 9, к. 1	1973
г. Санкт-Петербург, ул. Белы Куна, д. 10, лит. А	1967
г. Санкт-Петербург, ул. Белы Куна, д. 11, к. 2, лит. А	1972
